,0,1,2
12174,Daniel,Robertson,(Roger)
12178,Diego,Castillo,(b. 1994-01-18)
12197,Giancarlo,Stanton,/ Mike Stanton (c)
12213,Tim,Anderson,(Devon)
12226,(Christopher),Brian,Johnson
12240,Matt,Carpenter,(Martin)
12251,Tommy,La,Stella / Tommy LaStella
12263,Will,Smith,(Dills)
12266,Brandon,Lowe,(Norman)
12273,Austin,Adams,(Lance)
12278,LaMonte,Wade,Jr.
12318,Jacob,Webb,(Lawrence)
12327,Matt,Carpenter,(Martin)
12341,Raul,Mondesi,(Adalberto) / Adalberto Mondesi
12347,(James),Kyle,Farmer
12349,David,Hernandez,(Jose)
12373,Miguel,Diaz,(Angel)
12385,Dee,Strange-Gordon,/ Dee Gordon
12386,Ryan,Zimmerman,(Wallace)
12395,Brad,Miller,(Austin)
12416,Tim,Lopes,/ Timmy Lopes
12445,Enrique,Hernandez,/ Kike Hernandez
12454,Dwight,Smith,Jr.
12477,Nate,Jones,(Andrew)
12481,Hyun,Jin,Ryu / Hyun-Jin Ryu
12486,Richard,Hembree,/ Heath Hembree
12525,Jordan,Zimmermann,(M.)
12541,D.J.,Stewart,(Demetrius Jerome)
12558,Jose,Castillo,(Gregorio)
12560,Nelson,Cruz,(Ramon)
12564,Lourdes,Gurriel,Jr.
12581,Justin,Anderson,(Charles)
12582,Jose,Martinez,(Alberto)
12583,Richard,Rodriguez,(Agustin)
12588,Carl,Edwards,Jr. / C.J. Edwards
12608,Fernando,Tatis,Jr.
12616,Yoshihisa,Hirano,/ Yoshi Hirano
12634,Jacob,Webb,(Lawrence)
12637,Kristopher,Negron,/ Kris Negron
12675,Brian,Anderson,(Wade)
12689,Jose,Ramirez,(Enrique)
12716,Max,Muncy,(Steven)
12720,Giovanny,Urshela,/ Gio Urshela
12816,(James),Kyle,Farmer
12827,Zach,Green,(C.)
12830,Jason,Martin,(b. 1995-09-05)
12870,Charlie,Culberson,(Edward) (b. 1989-04-10)
12902,Lourdes,Gurriel,Jr.
13069,Austin,Adams,(Lance)
13105,Will,Smith,(Dills)
13106,Matt,Reynolds,(William)
13114,Jose,Suarez,(Rances)
13126,Billy,Hamilton,(R.)
13132,Jose,Ruiz,(Rafael)
13141,Ralph,Garza,Jr.
13144,Delino,DeShields,Jr.
13150,Yoshihisa,Hirano,/ Yoshi Hirano
13153,Eduardo,Rodriguez,(Jos̩)
